district,rooms,max_floors,rub_by_district
р-н Центральный,2,12,63447.09811606662
р-н Центральный,2,13,69789.74042873776
р-н Центральный,2,14,65180.34715758237
р-н Центральный,2,15,71006.83001385107
р-н Центральный,2,16,60615.93700194911
р-н Центральный,2,17,70944.85625679305
р-н Центральный,2,18,66852.99249238484
р-н Центральный,2,19,62441.08622207853
р-н Центральный,2,20,63332.09774185642
р-н Центральный,2,22,78153.92365169436
р-н Центральный,2,23,80019.82228298017
р-н Центральный,2,24,69015.72267772205
р-н Центральный,2,25,65557.28066580198
р-н Центральный,2,26,88135.59322033898
р-н Центральный,2,27,81504.70219435736
р-н Центральный,3,2,51286.75882352941
р-н Центральный,3,3,48483.9242387351
р-н Центральный,3,4,66615.754247935
р-н Центральный,3,5,53705.959257310366
р-н Центральный,3,6,59404.85953675498
р-н Центральный,3,7,67811.66389089212
р-н Центральный,3,8,58919.60677730503
р-н Центральный,3,9,55837.82963401366
р-н Центральный,3,10,54783.92584580208
р-н Центральный,3,11,66860.07022533353
р-н Центральный,3,12,60333.81818501467
р-н Центральный,3,13,79371.94356798317
р-н Центральный,3,14,68059.40822931114
р-н Центральный,3,15,65158.4060050485
р-н Центральный,3,16,59504.13645043093
р-н Центральный,3,17,72422.62208582122
р-н Центральный,3,18,75599.01459708676
р-н Центральный,3,19,70682.21544715446
р-н Центральный,3,20,70596.54631083203
р-н Центральный,3,22,69501.92805938495
р-н Центральный,3,23,69154.63569875695
р-н Центральный,3,24,70366.91632067354
р-н Центральный,3,25,70198.46068136793
р-н Центральный,3,26,83491.46110056926
р-н Центральный,3,27,82529.6562627499
р-н Центральный,3,28,82500.0
р-н Центральный,4,3,55007.68481031639
р-н Центральный,4,4,52998.925427482776
р-н Центральный,4,5,58646.97665101617
р-н Центральный,4,6,64217.5911359287
р-н Центральный,4,9,49763.579271970775
р-н Центральный,4,10,61370.174074980634
р-н Центральный,4,12,59888.57938718662
р-н Центральный,4,13,50000.0
р-н Центральный,4,16,47266.4743934086
р-н Центральный,4,17,72713.64317841078
р-н Центральный,4,18,72218.12822402359
р-н Центральный,4,26,83333.33333333333
р-н Центральный,5,10,78060.80525883318
р-н Центральный,Своб. планировка,5,69444.44444444445
р-н Центральный,Своб. планировка,9,81415.92920353982
р-н Центральный,Своб. планировка,16,86792.45283018867
р-н Центральный,Студия,5,70313.27543424317
р-н Центральный,Студия,6,60421.05263157895
р-н Центральный,Студия,8,73333.33333333333
р-н Центральный,Студия,9,65429.539063687494
р-н Центральный,Студия,10,62500.0
р-н Центральный,Студия,11,44605.8091286307
р-н Центральный,Студия,12,90811.9658119658
р-н Центральный,Студия,13,60500.0
р-н Центральный,Студия,16,74258.47457627118
р-н Центральный,Студия,17,90588.23529411764
р-н Центральный,Студия,18,72313.24876673713
р-н Центральный,Студия,19,68142.88899178544
р-н Центральный,Студия,24,70000.0
р-н Центральный,Студия,25,73393.006993007
