district,rooms,max_floors,rub_by_district
р-н Краснооктябрьский,4,11,42185.72195383789
р-н Краснооктябрьский,4,16,49060.33591040452
р-н Краснооктябрьский,4,19,42848.73949579832
р-н Краснооктябрьский,5,2,16019.417475728156
р-н Краснооктябрьский,5,5,40065.562456866806
р-н Краснооктябрьский,5,9,42090.44199580869
р-н Краснооктябрьский,5,11,34695.65217391304
р-н Краснооктябрьский,Студия,16,59878.78480377198
р-н Краснооктябрьский,Студия,17,61785.71428571428
р-н Краснооктябрьский,Студия,18,62142.857142857145
р-н Советский,1,2,38150.12990793733
р-н Советский,1,3,53506.03451401038
р-н Советский,1,4,47134.999857022995
р-н Советский,1,5,47354.70101666218
р-н Советский,1,6,34798.5347985348
р-н Советский,1,7,48972.27627627627
р-н Советский,1,9,51832.30591874422
р-н Советский,1,10,58340.48088391357
р-н Советский,1,11,60982.88513586784
р-н Советский,1,12,52954.42110182288
р-н Советский,1,13,55084.745762711864
р-н Советский,1,14,51869.38066792559
р-н Советский,1,16,54153.51638880478
р-н Советский,1,17,48067.33785094371
р-н Советский,1,18,57657.68718115485
р-н Советский,1,21,51172.7078891258
р-н Советский,1,23,50321.19914346895
р-н Советский,1,24,57045.24460486509
р-н Советский,1,25,73404.25531914894
р-н Советский,2,1,35951.13902490951
р-н Советский,2,2,33308.59616575449
р-н Советский,2,3,47762.67233761708
р-н Советский,2,4,42385.11178864079
р-н Советский,2,5,45110.8932383317
р-н Советский,2,6,47830.83353307442
р-н Советский,2,7,42769.85743380855
р-н Советский,2,8,69293.47826086957
р-н Советский,2,9,50390.262587881596
р-н Советский,2,10,54467.87344958616
р-н Советский,2,11,70373.23114408983
р-н Советский,2,12,58190.37313922225
р-н Советский,2,14,50983.65277818531
р-н Советский,2,16,53576.83483955479
р-н Советский,2,17,41326.848270974115
р-н Советский,2,18,45044.57081211659
р-н Советский,2,24,50159.407273411816
р-н Советский,3,2,32978.2133024663
р-н Советский,3,3,36141.3934972753
р-н Советский,3,4,34378.3716892613
р-н Советский,3,5,41563.37310567961
р-н Советский,3,7,35413.77989047595
р-н Советский,3,8,54700.854700854696
р-н Советский,3,9,47332.394165938545
р-н Советский,3,10,53984.45788844487
р-н Советский,3,11,74166.66666666669
р-н Советский,3,13,66054.03595194884
р-н Советский,3,16,46257.432087049885
р-н Советский,3,17,59983.221476510065
р-н Советский,3,24,44656.13040578834
р-н Советский,4,2,30950.29239766082
р-н Советский,4,3,27428.571428571428
р-н Советский,4,4,32794.47604654367
р-н Советский,4,5,37893.123723833436
р-н Советский,4,6,30794.165316045386
р-н Советский,4,9,44192.0882898458
р-н Советский,4,10,64640.215378229084
р-н Советский,4,16,46402.685974177366
р-н Советский,5,5,40509.259259259255
р-н Советский,Своб.планировка,24,50865.80086580086
р-н Советский,Студия,3,44642.857142857145
р-н Советский,Студия,4,53763.44086021505
р-н Советский,Студия,5,57962.06747217898
р-н Советский,Студия,7,56756.75675675676
р-н Советский,Студия,9,55330.033489701695
р-н Советский,Студия,10,65152.8487641391
р-н Советский,Студия,12,59259.259259259255
р-н Советский,Студия,15,52083.33333333334
р-н Советский,Студия,16,54669.047619047626
р-н Тракторозаводский,1,2,29358.752209788043
р-н Тракторозаводский,1,3,33799.04855634969
р-н Тракторозаводский,1,4,39005.50579665388
р-н Тракторозаводский,1,5,42143.62339274135
р-н Тракторозаводский,1,6,44867.93590992501
р-н Тракторозаводский,1,7,47695.8345894885
р-н Тракторозаводский,1,9,48753.03719906099
р-н Тракторозаводский,1,10,51874.00358724863
р-н Тракторозаводский,1,11,57575.757575757576
р-н Тракторозаводский,1,13,58682.75792854276
р-н Тракторозаводский,1,14,47051.81944612103
р-н Тракторозаводский,1,16,51484.46151768282
р-н Тракторозаводский,1,17,60208.333333333336
р-н Тракторозаводский,1,20,46150.11734160954
р-н Тракторозаводский,2,2,30282.893779538794
р-н Тракторозаводский,2,3,36844.518661329355
р-н Тракторозаводский,2,4,35149.502670273076
р-н Тракторозаводский,2,5,38045.650498017065
р-н Тракторозаводский,2,6,46810.469100791684
р-н Тракторозаводский,2,7,38091.172521620625
р-н Тракторозаводский,2,8,51178.469597506795
р-н Тракторозаводский,2,9,46350.9673588517
р-н Тракторозаводский,2,10,49989.18398974014
р-н Тракторозаводский,2,12,44520.64943587139
р-н Тракторозаводский,2,14,43921.81427351671
р-н Тракторозаводский,2,16,56696.61374926192
р-н Тракторозаводский,2,17,76941.17647058824
р-н Тракторозаводский,3,2,25026.902640245473
р-н Тракторозаводский,3,3,29205.085765054166
р-н Тракторозаводский,3,4,29298.921873483756
р-н Тракторозаводский,3,5,35354.35215785572
р-н Тракторозаводский,3,6,36718.75
р-н Тракторозаводский,3,8,47696.63791767804
р-н Тракторозаводский,3,9,47217.337042895626
р-н Тракторозаводский,3,10,51025.856967057305
р-н Тракторозаводский,3,11,55747.51703404954
р-н Тракторозаводский,3,12,40954.3847168758
р-н Тракторозаводский,3,14,50383.29242232867
р-н Тракторозаводский,3,16,54751.66967977162
р-н Тракторозаводский,4,2,21081.81803312826
р-н Тракторозаводский,4,3,23391.812865497075
р-н Тракторозаводский,4,5,37590.51415944083
р-н Тракторозаводский,4,9,43129.48888841181
р-н Тракторозаводский,4,10,40316.84802674585
р-н Тракторозаводский,4,16,46462.81206209421
р-н Тракторозаводский,5,10,47324.873096446696
р-н Тракторозаводский,Студия,4,58139.53488372093
р-н Тракторозаводский,Студия,5,40982.14285714286
р-н Тракторозаводский,Студия,9,85000.0
р-н Тракторозаводский,Студия,16,57526.88172043011
р-н Тракторозаводский,Студия,20,44492.23416965353
р-н Центральный,1,2,62903.22580645161
р-н Центральный,1,3,75129.53367875647
р-н Центральный,1,4,55344.85831402602
р-н Центральный,1,5,63708.081638886695
р-н Центральный,1,6,68554.46195722828
р-н Центральный,1,7,72233.62569698865
р-н Центральный,1,8,67145.1355661882
р-н Центральный,1,9,62866.30983193691
р-н Центральный,1,10,63652.23705293449
р-н Центральный,1,11,63338.65328956347
р-н Центральный,1,12,69570.66297655238
р-н Центральный,1,13,68690.47619047618
р-н Центральный,1,15,65764.07836718467
р-н Центральный,1,16,65893.06337381946
р-н Центральный,1,17,64712.131961021885
р-н Центральный,1,18,70001.14240663558
р-н Центральный,1,19,65711.5403813517
р-н Центральный,1,20,72480.76923076925
р-н Центральный,1,21,70649.25587093076
р-н Центральный,1,22,66985.29411764706
р-н Центральный,1,23,72300.42542542542
р-н Центральный,1,24,65005.23805596442
р-н Центральный,1,25,73981.0380570425
р-н Центральный,1,26,79646.01769911505
р-н Центральный,1,27,74866.28147712159
р-н Центральный,2,2,51289.801606237656
р-н Центральный,2,3,58266.13163462194
р-н Центральный,2,4,63860.15117723198
р-н Центральный,2,5,56444.00182032177
р-н Центральный,2,6,64517.77896040241
р-н Центральный,2,7,63756.721981954
р-н Центральный,2,8,75315.00175538007
р-н Центральный,2,9,61496.075250429545
р-н Центральный,2,10,61240.95626272835
р-н Центральный,2,11,50823.88894437232
р-н Центральный,2,12,61112.16175226628
р-н Центральный,2,13,69277.78919252106
р-н Центральный,2,14,63683.291744228656
р-н Центральный,2,15,64490.884553561125
р-н Центральный,2,16,61516.6328761637
р-н Центральный,2,17,71580.61296900123
р-н Центральный,2,18,67946.93363512849
р-н Центральный,2,19,62046.861605256454
р-н Центральный,2,20,64103.80564608443
р-н Центральный,2,21,59000.0
р-н Центральный,2,22,75533.8927669415
р-н Центральный,2,23,73428.05461547438
р-н Центральный,2,24,68881.77967177251
р-н Центральный,2,25,64933.870482982806
р-н Центральный,2,27,81504.70219435736
р-н Центральный,3,2,51286.75882352941
р-н Центральный,3,3,48483.9242387351
р-н Центральный,3,4,65995.62937287426
р-н Центральный,3,5,53732.413137666765
р-н Центральный,3,6,59404.85953675498
р-н Центральный,3,7,66740.70501355965
