iter	Passed	Remaining
830	5053	25354
831	5059	25347
832	5066	25342
833	5072	25335
834	5079	25339
835	5091	25359
836	5102	25377
837	5112	25393
838	5119	25392
839	5127	25392
840	5133	25388
841	5139	25379
842	5146	25378
843	5151	25369
844	5158	25363
845	5164	25359
846	5171	25356
847	5177	25349
848	5183	25342
849	5188	25331
850	5194	25323
851	5200	25317
852	5205	25309
853	5212	25303
854	5217	25295
855	5223	25287
856	5228	25277
857	5233	25266
858	5239	25256
859	5245	25253
860	5251	25242
861	5256	25233
862	5261	25220
863	5265	25205
864	5273	25208
865	5280	25205
866	5286	25200
867	5293	25198
868	5299	25190
869	5305	25183
870	5311	25177
871	5317	25172
872	5323	25168
873	5330	25163
874	5335	25151
875	5340	25141
876	5346	25135
877	5352	25128
878	5358	25120
879	5364	25116
880	5374	25125
881	5386	25150
882	5397	25163
883	5402	25155
884	5408	25146
885	5419	25166
886	5425	25156
887	5432	25157
888	5438	25150
889	5445	25147
890	5450	25137
891	5457	25135
892	5464	25129
893	5473	25139
894	5481	25141
895	5487	25133
896	5495	25139
897	5501	25131
898	5507	25125
899	5512	25113
900	5517	25101
901	5523	25095
902	5530	25090
903	5535	25081
904	5541	25076
905	5548	25071
906	5555	25068
907	5560	25059
908	5566	25051
909	5572	25044
910	5577	25034
911	5583	25027
912	5589	25020
913	5595	25012
914	5599	25000
915	5605	24993
916	5611	24987
917	5617	24978
918	5623	24971
919	5628	24962
920	5635	24960
921	5641	24951
922	5647	24945
923	5653	24937
924	5659	24931
925	5664	24923
926	5670	24914
927	5675	24905
928	5681	24896
929	5687	24888
930	5693	24881
931	5699	24875
932	5703	24859
933	5708	24852
934	5714	24845
935	5720	24838
936	5725	24825
937	5729	24812
938	5735	24805
939	5741	24798
940	5747	24790
941	5752	24782
942	5758	24773
943	5763	24764
944	5770	24759
945	5775	24748
946	5781	24744
947	5788	24739
948	5794	24733
949	5800	24728
950	5805	24715
951	5810	24705
952	5816	24701
953	5822	24693
954	5828	24687
955	5834	24681
956	5840	24673
957	5846	24669
958	5852	24661
959	5858	24654
960	5863	24645
961	5868	24634
962	5874	24626
963	5880	24621
964	5886	24611
965	5891	24603
966	5897	24594
967	5902	24587
968	5907	24576
969	5912	24565
970	5918	24558
971	5924	24551
972	5930	24546
973	5936	24539
974	5941	24528
975	5947	24519
976	5952	24511
977	5958	24504
978	5964	24496
979	5969	24488
980	5975	24479
981	5982	24477
982	5988	24470
983	5993	24462
984	5999	24454
985	6005	24448
986	6010	24439
987	6016	24431
988	6022	24424
989	6027	24414
990	6032	24404
991	6037	24394
992	6041	24380
993	6047	24372
994	6052	24363
995	6057	24351
996	6063	24344
997	6070	24340
998	6075	24332
999	6081	24325
1000	6087	24320
1001	6095	24322
1002	6101	24313
1003	6107	24309
1004	6112	24298
1005	6127	24325
1006	6138	24342
1007	6151	24363
1008	6163	24380
1009	6175	24395
1010	6188	24415
1011	6200	24433
1012	6212	24452
1013	6226	24475
1014	6238	24492
1015	6251	24513
1016	6262	24525
1017	6272	24533
1018	6280	24537
1019	6292	24554
1020	6304	24571
1021	6313	24574
1022	6323	24584
1023	6333	24590
1024	6343	24600
1025	6354	24613
1026	6362	24613
1027	6373	24627
1028	6385	24640
1029	6397	24657
1030	6410	24677
1031	6423	24699
1032	6435	24715
1033	6446	24725
1034	6478	24817
1035	6492	24840
1036	6512	24887
1037	6521	24891
1038	6525	24878
1039	6531	24871
1040	6537	24864
1041	6541	24849
1042	6547	24839
1043	6553	24831
1044	6559	24825
1045	6565	24817
1046	6571	24812
1047	6577	24803
1048	6583	24796
1049	6589	24789
1050	6595	24783
1051	6602	24778
1052	6608	24772
1053	6615	24766
1054	6620	24756
1055	6626	24748
1056	6631	24738
1057	6637	24728
1058	6642	24720
1059	6648	24711
1060	6654	24705
1061	6660	24698
1062	6666	24691
1063	6678	24705
1064	6688	24714
1065	6695	24708
1066	6701	24700
1067	6707	24693
1068	6713	24687
1069	6718	24677
1070	6725	24671
1071	6730	24662
1072	6737	24657
1073	6741	24643
1074	6747	24635
1075	6752	24625
